DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,repsFrom,uSNChanged,name,objectGUID,replUpToDateVector,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsFullReplicaFor,msDS-IsDomainFor,msDS-NcType,msDS-ExpirePasswordsOnSmartCardOnlyAccounts,dc,cn,description,showInAdvancedViewOnly,ou,msDS-TombstoneQuotaFactor,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,ipsecName,ipsecID,ipsecDataType,ipsecData,ipsecISAKMPReference,ipsecNFAReference,ipsecOwnersReference,ipsecNegotiationPolicyReference,ipsecFilterReference,iPSECNegotiationPolicyType,iPSECNegotiationPolicyAction,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,msDS-AuthenticatedAtDC,member,managedObjects,groupType,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-SupportedEncryptionTypes,msDS-GenerationId,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dNSProperty,dnsRecord,dNSTombstoned,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,givenName,userPrincipalName,msDS-PSOApplied,msDS-MaximumPasswordAge,msDS-MinimumPasswordAge,msDS-MinimumPasswordLength,msDS-PasswordHistoryLength,msDS-PasswordComplexityEnabled,msDS-PasswordReversibleEncryptionEnabled,msDS-LockoutObservationWindow,msDS-LockoutDuration,msDS-LockoutThreshold,msDS-PSOAppliesTo,msDS-PasswordSettingsPrecedence,lastSetTime,priorSetTime,managedBy,msDS-KrbTgtLink,msDS-RevealedUsers,msDS-NeverRevealGroup,msDS-RevealOnDemandGroup,msDS-RevealedDSAs,msDS-AuthenticatedToAccountlist,msDS-SecondaryKrbTgtNumber,msDS-KrbTgtLinkBl,sn,l,department,company,gPCUserExtensionNames,uNCName,serverName,portName,driverName,priority,printStartTime,printEndTime,printBinNames,printMaxResolutionSupported,printOrientationsSupported,printCollate,printColor,printLanguage,printShareName,printSpooling,printKeepPrintedJobs,driverVersion,printMaxXExtent,printMaxYExtent,printMinXExtent,printMinYExtent,printStaplingSupported,printMemory,printRateUnit,printMediaReady,printNumberUp,printMediaSupported,printerName,url,shortServerName,printDuplexSupported,printAttributes,msDFS-SchemaMajorVersion,msDFS-SchemaMinorVersion,msDFS-GenerationGUIDv2,msDFS-NamespaceIdentityGUIDv2,msDFS-LastModifiedv2,msDFS-Ttlv2,msDFS-Propertiesv2,msDFS-TargetListv2,msDFSR-TombstoneExpiryInMin,msDFSR-Schedule,msDFSR-RootSizeInMb,msDFSR-StagingSizeInMb,msDFSR-ConflictPath,msDFSR-ConflictSizeInMb,msDFSR-CachePolicy,msDFSR-MinDurationCacheInMin,msDFSR-MaxAgeInCacheInMin,fromServer,msDFSR-RdcEnabled,msDFSR-RdcMinFileSizeInKb
"CN=10b3ad2a-6883-4fa7-90fc-6377cbdc1b26,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=10b3ad2a-6883-4fa7-90fc-6377cbdc1b26,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5724,,,5724,10b3ad2a-6883-4fa7-90fc-6377cbdc1b26,X'fdac88e53c48a1478d6c9aa5e0f04450',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,10b3ad2a-6883-4fa7-90fc-6377cbdc1b26,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=98de1d3e-6611-443b-8b4e-f4337f1ded0b,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=98de1d3e-6611-443b-8b4e-f4337f1ded0b,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5725,,,5725,98de1d3e-6611-443b-8b4e-f4337f1ded0b,X'9bbe97a43ebaf64aa3d8cce2d38ea18e',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,98de1d3e-6611-443b-8b4e-f4337f1ded0b,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=f607fd87-80cf-45e2-890b-6cf97ec0e284,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=f607fd87-80cf-45e2-890b-6cf97ec0e284,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5726,,,5726,f607fd87-80cf-45e2-890b-6cf97ec0e284,X'9aa3eb67b68a7e4e9930003416bbff1f',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,f607fd87-80cf-45e2-890b-6cf97ec0e284,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=9cac1f66-2167-47ad-a472-2a13251310e4,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=9cac1f66-2167-47ad-a472-2a13251310e4,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5727,,,5727,9cac1f66-2167-47ad-a472-2a13251310e4,X'729cbb260b91624681af199b12bfe390',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,9cac1f66-2167-47ad-a472-2a13251310e4,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=6ff880d6-11e7-4ed1-a20f-aac45da48650,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=6ff880d6-11e7-4ed1-a20f-aac45da48650,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5728,,,5728,6ff880d6-11e7-4ed1-a20f-aac45da48650,X'fecb4e42ef3851429e106885009a54b5',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,6ff880d6-11e7-4ed1-a20f-aac45da48650,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=446f24ea-cfd5-4c52-8346-96e170bcb912,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=446f24ea-cfd5-4c52-8346-96e170bcb912,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5729,,,5729,446f24ea-cfd5-4c52-8346-96e170bcb912,X'2d0fc50998d11b418968c51f46a4ee4b',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,446f24ea-cfd5-4c52-8346-96e170bcb912,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=51cba88b-99cf-4e16-bef2-c427b38d0767,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=51cba88b-99cf-4e16-bef2-c427b38d0767,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5730,,,5730,51cba88b-99cf-4e16-bef2-c427b38d0767,X'5c350ba00abcf94f880070d544f7e98a',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,51cba88b-99cf-4e16-bef2-c427b38d0767,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=a3dac986-80e7-4e59-a059-54cb1ab43cb9,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=a3dac986-80e7-4e59-a059-54cb1ab43cb9,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5731,,,5731,a3dac986-80e7-4e59-a059-54cb1ab43cb9,X'14c0bb00f7b48843a8b2c220ecba398e',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,a3dac986-80e7-4e59-a059-54cb1ab43cb9,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=293f0798-ea5c-4455-9f5d-45f33a30703b,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=293f0798-ea5c-4455-9f5d-45f33a30703b,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5732,,,5732,293f0798-ea5c-4455-9f5d-45f33a30703b,X'e92c13d0e29a984781495191282e1b76',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,293f0798-ea5c-4455-9f5d-45f33a30703b,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=5c82b233-75fc-41b3-ac71-c69592e6bf15,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=5c82b233-75fc-41b3-ac71-c69592e6bf15,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5733,,,5733,5c82b233-75fc-41b3-ac71-c69592e6bf15,X'8e252c603e4ae54c833c1112d8fb1688',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,5c82b233-75fc-41b3-ac71-c69592e6bf15,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=7ffef925-405b-440a-8d58-35e8cd6e98c3,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=7ffef925-405b-440a-8d58-35e8cd6e98c3,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5734,,,5734,7ffef925-405b-440a-8d58-35e8cd6e98c3,X'37d29fbf39b3e04e821c25c68a77b518',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,7ffef925-405b-440a-8d58-35e8cd6e98c3,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=4dfbb973-8a62-4310-a90c-776e00f83222,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=4dfbb973-8a62-4310-a90c-776e00f83222,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5735,,,5735,4dfbb973-8a62-4310-a90c-776e00f83222,X'aee9d6a989185a4dafeb6137a67c4e83',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,4dfbb973-8a62-4310-a90c-776e00f83222,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=8437C3D8-7689-4200-BF38-79E4AC33DFA0,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=8437C3D8-7689-4200-BF38-79E4AC33DFA0,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5736,,,5736,8437C3D8-7689-4200-BF38-79E4AC33DFA0,X'00d83b6932bd584289b1be572bdeaa41',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,8437C3D8-7689-4200-BF38-79E4AC33DFA0,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=7cfb016c-4f87-4406-8166-bd9df943947f,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=7cfb016c-4f87-4406-8166-bd9df943947f,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5737,,,5737,7cfb016c-4f87-4406-8166-bd9df943947f,X'5700a6065498a2408f083426d3e03088',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,7cfb016c-4f87-4406-8166-bd9df943947f,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=f7ed4553-d82b-49ef-a839-2f38a36bb069,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=f7ed4553-d82b-49ef-a839-2f38a36bb069,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5738,,,5738,f7ed4553-d82b-49ef-a839-2f38a36bb069,X'227b36295c8bc6458d0451f5384095af',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,f7ed4553-d82b-49ef-a839-2f38a36bb069,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=8ca38317-13a4-4bd4-806f-ebed6acb5d0c,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=8ca38317-13a4-4bd4-806f-ebed6acb5d0c,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5739,,,5739,8ca38317-13a4-4bd4-806f-ebed6acb5d0c,X'3cb0fb3854f20049988c61531d874a31',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,8ca38317-13a4-4bd4-806f-ebed6acb5d0c,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=3c784009-1f57-4e2a-9b04-6915c9e71961,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=3c784009-1f57-4e2a-9b04-6915c9e71961,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5740,,,5740,3c784009-1f57-4e2a-9b04-6915c9e71961,X'badca9aa7342664bb48cca7def68d32b',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,3c784009-1f57-4e2a-9b04-6915c9e71961,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=6bcd5678-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=6bcd5678-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5741,,,5741,6bcd5678-8314-11d6-977b-00c04f613221,X'3c759f27e41a184b80517abea0cff94e',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,6bcd5678-8314-11d6-977b-00c04f613221,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=6bcd5679-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=6bcd5679-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5742,,,5742,6bcd5679-8314-11d6-977b-00c04f613221,X'438a9f72f570854fb8de63f364eb6c9e',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,6bcd5679-8314-11d6-977b-00c04f613221,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=6bcd567a-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=6bcd567a-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5743,,,5743,6bcd567a-8314-11d6-977b-00c04f613221,X'1d0d2d0d8015d844a91afda159b986cb',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,6bcd567a-8314-11d6-977b-00c04f613221,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=6bcd567b-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=6bcd567b-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5744,,,5744,6bcd567b-8314-11d6-977b-00c04f613221,X'683266f255483641baed9a2545cf1baa',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,6bcd567b-8314-11d6-977b-00c04f613221,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=6bcd567c-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=6bcd567c-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5745,,,5745,6bcd567c-8314-11d6-977b-00c04f613221,X'ed6ed549a3514d4f9b0630188d5138a3',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,6bcd567c-8314-11d6-977b-00c04f613221,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=6bcd567d-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=6bcd567d-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5746,,,5746,6bcd567d-8314-11d6-977b-00c04f613221,X'1f4cb231846faf4cba872248340310b5',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,6bcd567d-8314-11d6-977b-00c04f613221,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=6bcd567e-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",container,"CN=6bcd567e-8314-11d6-977b-00c04f613221,CN=Operations,CN=DomainUpdates,CN=System,DC=csa,DC=local",4,20240514104551.0Z,20240514104551.0Z,,5747,,,5747,6bcd567e-8314-11d6-977b-00c04f613221,X'611aa6a61da3a44dabbba1b5c69d17d0',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240514104644.0Z;16010101000001.0Z,,,,,,,,,,,,,,6bcd567e-8314-11d6-977b-00c04f613221,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
