DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,repsTo,repsFrom,uSNChanged,name,objectGUID,replUpToDateVector,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,msDS-ExpirePasswordsOnSmartCardOnlyAccounts,dc,cn,description,showInAdvancedViewOnly,ou,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,groupType,member,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-SupportedEncryptionTypes,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,dNSTombstoned,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,sn,givenName,userPrincipalName,gPCUserExtensionNames
"CN=434bb40d-dbc9-4fe7-81d4-d57229f7b080,CN=Operations,CN=DomainUpdates,CN=System,DC=andeby,DC=local",container,"CN=434bb40d-dbc9-4fe7-81d4-d57229f7b080,CN=Operations,CN=DomainUpdates,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5798,,,,5798,434bb40d-dbc9-4fe7-81d4-d57229f7b080,X'89f685da8797bd4b8009c4d7bbe19b81',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,434bb40d-dbc9-4fe7-81d4-d57229f7b080,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=A0C238BA-9E30-4EE6-80A6-43F731E9A5CD,CN=Operations,CN=DomainUpdates,CN=System,DC=andeby,DC=local",container,"CN=A0C238BA-9E30-4EE6-80A6-43F731E9A5CD,CN=Operations,CN=DomainUpdates,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5799,,,,5799,A0C238BA-9E30-4EE6-80A6-43F731E9A5CD,X'8311e4246afc534cbbc1a1e95d2d8b63',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,A0C238BA-9E30-4EE6-80A6-43F731E9A5CD,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Windows2003Update,CN=DomainUpdates,CN=System,DC=andeby,DC=local",container,"CN=Windows2003Update,CN=DomainUpdates,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5800,,,,5800,Windows2003Update,X'03a097425d9e3a45a9bcf57d99f87a26',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,Windows2003Update,,TRUE,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ActiveDirectoryUpdate,CN=DomainUpdates,CN=System,DC=andeby,DC=local",container,"CN=ActiveDirectoryUpdate,CN=DomainUpdates,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5801,,,,5801,ActiveDirectoryUpdate,X'8be5db70d0ed3e4783e882417e19635d',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=andeby,DC=local",,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,ActiveDirectoryUpdate,,TRUE,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Password Settings Container,CN=System,DC=andeby,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=PSPs,CN=System,DC=andeby,DC=local",msImaging-PSPs,"CN=PSPs,CN=System,DC=andeby,DC=local",4,20240418091256.0Z,20240418091256.0Z,,5803,,,,5803,PSPs,X'4e772bc1eb6da84da2b0d49af8f85f9a',,,,,,,,,,,,,,,,,,,,,,,,"CN=ms-Imaging-PSPs,CN=Schema,CN=Configuration,DC=andeby,DC=local",,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,PSPs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=TPM Devices,DC=andeby,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Administrator,CN=Users,DC=andeby,DC=local",user,"CN=Administrator,CN=Users,DC=andeby,DC=local",4,20240418091257.0Z,20240418092845.0Z,,8196,,,,12769,Administrator,X'08c26fc75d9f4f438f0a8f4161cf565f',,,,,,,,,,,,,,X'010500000000000515000000148d7e36ba23e369dcf4aca8f4010000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418092845.0Z;20240418092845.0Z;20240418091336.0Z;16010714042016.0Z,,,,,,,,,,,,,Administrator,Built-in account for administering the computer/domain,,,,,,,,,,"CN=Group Policy Creator Owners,CN=Users,DC=andeby,DC=local;CN=Domain Admins,CN=Users,DC=andeby,DC=local;CN=Enterprise Admins,CN=Users,DC=andeby,DC=local;CN=Schema Admins,CN=Users,DC=andeby,DC=local;CN=Administrators,CN=Builtin,DC=andeby,DC=local",66048,0,0,0,133579055608693661,0,133579067525587109,133579042753394079,513,1,9223372036854775807,5,Administrator,805306368,133579055645713454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Guest,CN=Users,DC=andeby,DC=local",user,"CN=Guest,CN=Users,DC=andeby,DC=local",,,,,,,,,,Guest,X'15a3ecaf9f79074f965ef7e3336fb0e9',,,,,,,,,,,,,,X'010500000000000515000000148d7e36ba23e369dcf4aca8f5010000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=andeby,DC=local",,,,,,,,,,,,,,,,Guest,Built-in account for guest access to the computer/domain,,,,,,,,,,,,,0,0,,,,,514,,,,Guest,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=DHCP Users,CN=Users,DC=andeby,DC=local",group,"CN=DHCP Users,CN=Users,DC=andeby,DC=local",4,20240418091257.0Z,20240418091257.0Z,,8198,,,,8198,DHCP Users,X'8829aa61e361844f8bf3760f8a54db0d',,,,,,,,,,,,,,X'010500000000000515000000148d7e36ba23e369dcf4aca8e8030000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,DHCP Users,Members who have view-only access to the DHCP service,,,,,,,,,,,,,,,,,,,,,,,DHCP Users,536870912,,-2147483644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=DHCP Administrators,CN=Users,DC=andeby,DC=local",group,"CN=DHCP Administrators,CN=Users,DC=andeby,DC=local",4,20240418091257.0Z,20240418091257.0Z,,8199,,,,8199,DHCP Administrators,X'8a72fae8f586454abfa378776e7bf884',,,,,,,,,,,,,,X'010500000000000515000000148d7e36ba23e369dcf4aca8e9030000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,DHCP Administrators,Members who have administrative access to the DHCP Service,,,,,,,,,,,,,,,,,,,,,,,DHCP Administrators,536870912,,-2147483644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Builtin,DC=andeby,DC=local",builtinDomain,"CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418091257.0Z,,8200,,,,8200,Builtin,X'f5e3be9928564049934c70eb334ef1bc',,133579041881140702,-9223372036854775808,-6000000000,-6000000000,0,-37108517437440,0,0,0,1000,1,0,X'010100000000000520000000',1,1,87,,,,,-1946157056,,"CN=Builtin-Domain,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418103205.0Z;20240418091336.0Z;16010101181217.0Z,,,,,,,,,,,,,Builtin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Administrators,CN=Builtin,DC=andeby,DC=local",group,"CN=Administrators,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418094935.0Z,,8201,,,,12800,Administrators,X'a29df2383124c448b545f4d3d007b893',,,,,,,,,,,,,,X'01020000000000052000000020020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418092845.0Z;20240418091336.0Z;16010101181216.0Z,,,,,,,,,,,,,Administrators,Administrators have complete and unrestricted access to the computer/domain,,,,,,,,,,,,,,,,,,,,1,,,Administrators,536870912,,-2147483643,X'434e3d47656f6720476561726cc3b8732c4f553d41646d696e6973747261746f722c4f553d416664656c696e6765722c44433d616e646562792c44433d6c6f63616c';X'434e3d446f6d61696e2041646d696e732c434e3d55736572732c44433d616e646562792c44433d6c6f63616c';X'434e3d456e74657270726973652041646d696e732c434e3d55736572732c44433d616e646562792c44433d6c6f63616c';X'434e3d41646d696e6973747261746f722c434e3d55736572732c44433d616e646562792c44433d6c6f63616c',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Users,CN=Builtin,DC=andeby,DC=local",group,"CN=Users,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418091336.0Z,,8204,,,,12381,Users,X'8ba23f49c7399849aa191e7c4d61e105',,,,,,,,,,,,,,X'01020000000000052000000021020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,Users,Users are prevented from making accidental or intentional system-wide changes and can run most applications,,,,,,,,,,,,,,,,,,,,,,,Users,536870912,,-2147483643,"CN=Domain Users,CN=Users,DC=andeby,DC=local;CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=andeby,DC=local;CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=andeby,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=andeby,DC=local",foreignSecurityPrincipal,"CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=andeby,DC=local",4,20240418091257.0Z,20240418091257.0Z,,8205,,,,8205,S-1-5-4,X'541a02aa2bed7645b03abce13133a8ec',,,,,,,,,,,,,,X'010100000000000504000000',,,,,,,,,,"CN=Foreign-Security-Principal,CN=Schema,CN=Configuration,DC=andeby,DC=local",,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,S-1-5-4,,TRUE,,,,,,,,,"CN=Users,CN=Builtin,DC=andeby,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=andeby,DC=local",foreignSecurityPrincipal,"CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=andeby,DC=local",4,20240418091257.0Z,20240418091257.0Z,,8206,,,,8206,S-1-5-11,X'c15ecfcd35053c409dc5fb95394c698c',,,,,,,,,,,,,,X'01010000000000050b000000',,,,,,,,,,"CN=Foreign-Security-Principal,CN=Schema,CN=Configuration,DC=andeby,DC=local",,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,S-1-5-11,,TRUE,,,,,,,,,"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=andeby,DC=local;CN=Users,CN=Builtin,DC=andeby,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Guests,CN=Builtin,DC=andeby,DC=local",group,"CN=Guests,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418091336.0Z,,8210,,,,12383,Guests,X'71b374607becb442a9373d8543ae2c7a',,,,,,,,,,,,,,X'01020000000000052000000022020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,Guests,"Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted",,,,,,,,,,,,,,,,,,,,,,,Guests,536870912,,-2147483643,"CN=Domain Guests,CN=Users,DC=andeby,DC=local;CN=Guest,CN=Users,DC=andeby,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Print Operators,CN=Builtin,DC=andeby,DC=local",group,"CN=Print Operators,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418092845.0Z,,8213,,,,12777,Print Operators,X'4965309d426f1b4885516aa5b52ad91b',,,,,,,,,,,,,,X'01020000000000052000000026020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418092845.0Z;20240418091336.0Z;16010101181216.0Z,,,,,,,,,,,,,Print Operators,Members can administer printers installed on domain controllers,,,,,,,,,,,,,,,,,,,,1,,,Print Operators,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Backup Operators,CN=Builtin,DC=andeby,DC=local",group,"CN=Backup Operators,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418092845.0Z,,8214,,,,12784,Backup Operators,X'c987ef347e049749a6fc75900ca73aa7',,,,,,,,,,,,,,X'01020000000000052000000027020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418092845.0Z;20240418091336.0Z;16010101181216.0Z,,,,,,,,,,,,,Backup Operators,Backup Operators can override security restrictions for the sole purpose of backing up or restoring files,,,,,,,,,,,,,,,,,,,,1,,,Backup Operators,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Replicator,CN=Builtin,DC=andeby,DC=local",group,"CN=Replicator,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418092845.0Z,,8215,,,,12782,Replicator,X'a83dac8073ac3147867bbc1bf4be30a6',,,,,,,,,,,,,,X'01020000000000052000000028020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418092845.0Z;20240418091336.0Z;16010101181216.0Z,,,,,,,,,,,,,Replicator,Supports file replication in a domain,,,,,,,,,,,,,,,,,,,,1,,,Replicator,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Remote Desktop Users,CN=Builtin,DC=andeby,DC=local",group,"CN=Remote Desktop Users,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418121731.0Z,,8216,,,,13686,Remote Desktop Users,X'2ffbb789df482747a969822cba1dbde4',,,,,,,,,,,,,,X'0102000000000005200000002b020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,Remote Desktop Users,Members in this group are granted the right to logon remotely,,,,,,,,,,,,,,,,,,,,,,,Remote Desktop Users,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Network Configuration Operators,CN=Builtin,DC=andeby,DC=local",group,"CN=Network Configuration Operators,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418091257.0Z,,8217,,,,8217,Network Configuration Operators,X'7b9a7798203a0847ac0b1885f033db9e',,,,,,,,,,,,,,X'0102000000000005200000002c020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,Network Configuration Operators,Members in this group can have some administrative privileges to manage configuration of networking features,,,,,,,,,,,,,,,,,,,,,,,Network Configuration Operators,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Performance Monitor Users,CN=Builtin,DC=andeby,DC=local",group,"CN=Performance Monitor Users,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418091257.0Z,,8218,,,,8218,Performance Monitor Users,X'e0fc90ece1324d40806b7ef89475fd82',,,,,,,,,,,,,,X'0102000000000005200000002e020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,Performance Monitor Users,Members of this group can access performance counter data locally and remotely,,,,,,,,,,,,,,,,,,,,,,,Performance Monitor Users,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Performance Log Users,CN=Builtin,DC=andeby,DC=local",group,"CN=Performance Log Users,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418091257.0Z,,8219,,,,8219,Performance Log Users,X'57721d3284105d488bec0b7802929f96',,,,,,,,,,,,,,X'0102000000000005200000002f020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,Performance Log Users,"Members of this group may schedule logging of performance counters, enable trace providers, and collect event traces both locally and via remote access to this computer",,,,,,,,,,,,,,,,,,,,,,,Performance Log Users,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Distributed COM Users,CN=Builtin,DC=andeby,DC=local",group,"CN=Distributed COM Users,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418091257.0Z,,8220,,,,8220,Distributed COM Users,X'eca53b363333ff4b84e4ed61ba8c5a92',,,,,,,,,,,,,,X'01020000000000052000000032020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,Distributed COM Users,"Members are allowed to launch, activate and use Distributed COM objects on this machine.",,,,,,,,,,,,,,,,,,,,,,,Distributed COM Users,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=IIS_IUSRS,CN=Builtin,DC=andeby,DC=local",group,"CN=IIS_IUSRS,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418091257.0Z,,8221,,,,8224,IIS_IUSRS,X'ae48e8518c30ed499081bef7ab049ce9',,,,,,,,,,,,,,X'01020000000000052000000038020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,IIS_IUSRS,Built-in group used by Internet Information Services.,,,,,,,,,,,,,,,,,,,,,,,IIS_IUSRS,536870912,,-2147483643,"CN=S-1-5-17,CN=ForeignSecurityPrincipals,DC=andeby,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=S-1-5-17,CN=ForeignSecurityPrincipals,DC=andeby,DC=local",foreignSecurityPrincipal,"CN=S-1-5-17,CN=ForeignSecurityPrincipals,DC=andeby,DC=local",,,,,,,,,,S-1-5-17,X'99ca0d16e950d34787728902056d36b3',,,,,,,,,,,,,,X'010100000000000511000000',,,,,,,,,,"CN=Foreign-Security-Principal,CN=Schema,CN=Configuration,DC=andeby,DC=local",,,,,,,,,,,,,,,,S-1-5-17,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Cryptographic Operators,CN=Builtin,DC=andeby,DC=local",group,"CN=Cryptographic Operators,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418091257.0Z,,8225,,,,8225,Cryptographic Operators,X'aaaef3c2bf291043ba2e589d1ca77470',,,,,,,,,,,,,,X'01020000000000052000000039020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,Cryptographic Operators,Members are authorized to perform cryptographic operations.,,,,,,,,,,,,,,,,,,,,,,,Cryptographic Operators,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Event Log Readers,CN=Builtin,DC=andeby,DC=local",group,"CN=Event Log Readers,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418091257.0Z,,8226,,,,8226,Event Log Readers,X'32d57ab4c63c7141b914084c55e25cb4',,,,,,,,,,,,,,X'0102000000000005200000003d020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,Event Log Readers,Members of this group can read event logs from local machine,,,,,,,,,,,,,,,,,,,,,,,Event Log Readers,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Certificate Service DCOM Access,CN=Builtin,DC=andeby,DC=local",group,"CN=Certificate Service DCOM Access,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418091257.0Z,,8227,,,,8227,Certificate Service DCOM Access,X'8af7dd05750787409ec4e4334b23539a',,,,,,,,,,,,,,X'0102000000000005200000003e020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,Certificate Service DCOM Access,Members of this group are allowed to connect to Certification Authorities in the enterprise,,,,,,,,,,,,,,,,,,,,,,,Certificate Service DCOM Access,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=RDS Remote Access Servers,CN=Builtin,DC=andeby,DC=local",group,"CN=RDS Remote Access Servers,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418091257.0Z,,8228,,,,8228,RDS Remote Access Servers,X'65560d4ca7cd1148806fa03304964274',,,,,,,,,,,,,,X'0102000000000005200000003f020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,RDS Remote Access Servers,"Servers in this group enable users of RemoteApp programs and personal virtual desktops access to these resources. In Internet-facing deployments, these servers are typically deployed in an edge network. This group needs to be populated on servers running RD Connection Broker. RD Gateway servers and RD Web Access servers used in the deployment need to be in this group.",,,,,,,,,,,,,,,,,,,,,,,RDS Remote Access Servers,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=RDS Endpoint Servers,CN=Builtin,DC=andeby,DC=local",group,"CN=RDS Endpoint Servers,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418091257.0Z,,8229,,,,8229,RDS Endpoint Servers,X'452c233489109e45b6728e1edf3b0f90',,,,,,,,,,,,,,X'01020000000000052000000040020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,RDS Endpoint Servers,Servers in this group run virtual machines and host sessions where users RemoteApp programs and personal virtual desktops run. This group needs to be populated on servers running RD Connection Broker. RD Session Host servers and RD Virtualization Host servers used in the deployment need to be in this group.,,,,,,,,,,,,,,,,,,,,,,,RDS Endpoint Servers,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=RDS Management Servers,CN=Builtin,DC=andeby,DC=local",group,"CN=RDS Management Servers,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418091257.0Z,,8230,,,,8230,RDS Management Servers,X'8856539a6f59684eb015fab6b25afd3c',,,,,,,,,,,,,,X'01020000000000052000000041020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,RDS Management Servers,Servers in this group can perform routine administrative actions on servers running Remote Desktop Services. This group needs to be populated on all servers in a Remote Desktop Services deployment. The servers running the RDS Central Management service must be included in this group.,,,,,,,,,,,,,,,,,,,,,,,RDS Management Servers,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Hyper-V Administrators,CN=Builtin,DC=andeby,DC=local",group,"CN=Hyper-V Administrators,CN=Builtin,DC=andeby,DC=local",4,20240418091257.0Z,20240418091257.0Z,,8231,,,,8231,Hyper-V Administrators,X'a09d83dcd4542a41996753c1325f79f7',,,,,,,,,,,,,,X'01020000000000052000000042020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=andeby,DC=local",TRUE,,20240418120741.0Z;20240418091336.0Z;16010101000417.0Z,,,,,,,,,,,,,Hyper-V Administrators,Members of this group have complete and unrestricted access to all features of Hyper-V.,,,,,,,,,,,,,,,,,,,,,,,Hyper-V Administrators,536870912,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
